source_row,selection_id,View,Channel,begin_time,end_time,low_freq,high_freq,stable_id,source_stem,audio_duration_s,syllable_duration_s,frequency_box_valid,source_file
45,47,Spectrogram 1,1,16.309449848,16.482349276,526.2,13484.4,5a0e8ad64a9eee514a4b,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1728994280000009,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
46,48,Spectrogram 1,1,16.539252885,16.834713933,0.0,13944.8,314c7e5753bb373c1a7e,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.2954610479999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
47,49,Spectrogram 1,1,16.959464153,17.335903414,0.0,15326.1,6dfdff285c39a0b6420a,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.3764392610000016,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
48,50,Spectrogram 1,1,17.462842234,17.594158255,460.4,15589.2,ac46a74b614c7e76032b,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1313160209999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
49,51,Spectrogram 1,1,17.804263889,17.985917718,197.3,13944.8,3a02c83dd9be193a96ab,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1816538289999982,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
50,52,Spectrogram 1,1,18.073461724,18.377677173,0.0,14142.1,728fb247c9c9af27d4c3,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.3042154489999973,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
51,53,Spectrogram 1,1,18.502427393,18.837283923,592.0,15523.5,0262a7a830ae0e4a9614,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.3348565299999997,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
52,56,Spectrogram 1,1,18.918262136,19.264060992,0.0,14799.9,3c5a8e209ce7f2bb4224,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.3457988560000018,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
53,57,Spectrogram 1,1,19.423828817,19.583596643,0.0,13747.5,e52429ee9173fc0bbe3a,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1597678259999995,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
54,58,Spectrogram 1,1,19.66676346,19.97973331,0.0,13287.0,99536ca94517f4b424ee,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.3129698500000017,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
55,59,Spectrogram 1,1,20.069465925,20.22485655,460.4,15523.5,7e1c7d41612e32c1e906,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.155390624999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
56,60,Spectrogram 1,1,20.421830582,20.59691861,0.0,14142.1,598af041c4367ad6311d,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1750880280000011,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
57,61,Spectrogram 1,1,20.767629437,20.933963064,0.0,13418.6,699734cbf623aafab34a,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1663336270000002,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
1,1,Spectrogram 1,1,0.045306894,0.230019617,328.9,13418.6,aa19f66296174421a90d,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.184712723,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
2,2,Spectrogram 1,1,0.360712581,0.653464821,263.1,14471.0,b12d130607c7152d0426,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.29275224,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
