source_file,site,prob,is_gold,is_gold_manual,is_listened,max_bout_all,bout_dur_all,n_seg_all,max_bout,n_nontype1_total,n_distinct_nontype1,aci,duty_cycle,peak_rate
guanyinya_2023-06-02-birdnet-11_12_48,guanyinya,0.0,False,False,False,5.0,1.6866633333333318,34.0,1.0,0.0,0.0,350.57342529296875,0.165822447347374,19.89549839228296
guanyinya_2023-06-02-birdnet-11_13_48,guanyinya,0.0019729339988907376,False,False,False,5.0,2.2519966666666686,55.0,1.0,0.0,0.0,377.4466247558594,0.1234337509997334,34.28725701943844
guanyinya_2023-06-02-birdnet-11_14_18,guanyinya,0.0019764836383804768,False,False,False,5.0,1.191996666666668,36.0,1.0,0.0,0.0,375.8204345703125,0.1197014129565449,26.726057906458795
guanyinya_2023-06-02-birdnet-11_14_48,guanyinya,0.0,False,False,False,9.0,2.155996666666667,42.0,1.0,0.0,0.0,376.0846862792969,0.1229005598507064,33.622559652928416
guanyinya_2023-06-02-birdnet-11_15_48,guanyinya,0.0,False,False,False,5.0,1.1039966666666707,36.0,1.0,0.0,0.0,372.3264465332031,0.1730205278592375,22.34206471494607
guanyinya_2023-06-02-birdnet-11_20_48,guanyinya,0.0,False,False,False,3.0,0.9479966666666666,25.0,2.0,0.0,0.0,398.2835083007813,0.2282058117835244,34.754672897196265
guanyinya_2023-06-02-birdnet-11_36_47,guanyinya,0.0,False,False,False,5.0,1.1933299999999996,36.0,0.0,0.0,0.0,339.8222351074219,0.7176752865902426,4.736255572065379
guanyinya_2023-06-02-birdnet-12_49_16,guanyinya,0.0,False,False,False,15.0,4.9546633333333325,36.0,1.0,0.0,0.0,353.43365478515625,0.3969608104505465,16.286098052384148
guanyinya_2023-06-02-birdnet-13_21_15,guanyinya,0.0,False,False,False,5.0,2.410663333333336,10.0,0.0,0.0,0.0,371.2742614746094,0.3225806451612903,20.35123966942149
guanyinya_2023-06-02-birdnet-13_21_45,guanyinya,0.0,False,False,False,7.0,3.870663333333333,37.0,0.0,0.0,0.0,352.0422058105469,0.2756598240469208,14.748549323017407
guanyinya_2023-06-02-birdnet-13_22_45,guanyinya,0.0,False,False,False,6.0,1.9159966666666663,43.0,0.0,0.0,0.0,334.1556396484375,0.9517462010130632,3.6764705882352944
