file,kind,source,base_recording,site,region,year,src_path
liangzhuang_2024-04-20-birdnet-11_14_03_01.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_14_03,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_14_03_01.wav
liangzhuang_2024-04-20-birdnet-11_15_34_01.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_15_34,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_15_34_01.wav
liangzhuang_2024-04-20-birdnet-11_17_04_01.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_17_04,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_17_04_01.wav
liangzhuang_2024-04-20-birdnet-11_21_03__bout_006.wav,pipeline,2024_ruleC,liangzhuang_2024-04-20-birdnet-11_21_03,liangzhuang,polluted,2024,tmp/test_knn_2024/song_selection/listen_2024/1_ruleC_song/liangzhuang_2024-04-20-birdnet-11_21_03__bout_006.wav
liangzhuang_2024-04-20-birdnet-11_21_34.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_21_34,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_21_34.wav
liangzhuang_2024-04-20-birdnet-11_22_34_01_01.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_22_34,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_22_34_01_01.wav
liangzhuang_2024-04-20-birdnet-11_22_34_01_02.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_22_34,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_22_34_01_02.wav
liangzhuang_2024-04-20-birdnet-11_23_04.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_23_04,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_23_04.wav
liangzhuang_2024-04-20-birdnet-11_23_34.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_23_34,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_23_34.wav
liangzhuang_2024-04-20-birdnet-11_24_34_01.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_24_34,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_24_34_01.wav
liangzhuang_2024-04-20-birdnet-11_25_04_01_01.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_25_04,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_25_04_01_01.wav
