source_file,n_seg_all,max_bout_all,bout_dur_all,active_dur_all
guanyinya_2023-06-04-birdnet-05_40_53,53,10,3.122663333333339,15.163823333333387
guanyinya_2023-06-04-birdnet-05_41_23,56,13,4.793329999999998,13.293146666666694
guanyinya_2023-06-04-birdnet-06_01_23,42,8,3.48133,13.046526666666697
guanyinya_2023-06-04-birdnet-06_02_23,41,8,3.4213299999999993,10.342530000000055
guanyinya_2023-06-04-birdnet-06_03_53,53,16,7.518663333333336,13.561156666666724
guanyinya_2023-06-04-birdnet-06_12_53,74,11,2.891996666666667,14.95575333333337
guanyinya_2023-06-04-birdnet-06_37_52,1,1,0.31066333333333285,0.31066333333333285
guanyinya_2023-06-04-birdnet-06_38_22,40,12,4.679996666666668,9.363866666666718
guanyinya_2023-06-04-birdnet-06_39_52,52,11,4.158663333333333,13.058493333333367
guanyinya_2023-06-04-birdnet-06_40_52,61,8,2.902663333333333,15.714463333333399
guanyinya_2023-06-04-birdnet-06_55_22,51,7,2.577329999999999,11.40916333333336
guanyinya_2023-06-04-birdnet-06_55_52,55,7,2.2986633333333337,7.914483333333365
guanyinya_2023-06-04-birdnet-06_56_22,48,8,2.7439966666666713,9.15584000000003
guanyinya_2023-06-04-birdnet-07_03_22,69,19,7.043996666666667,15.866436666666694
guanyinya_2023-06-04-birdnet-07_06_22,56,21,8.18933,13.214480000000089
guanyinya_2023-06-04-birdnet-07_54_21,52,12,4.0333299999999985,9.095826666666689
guanyinya_2023-06-04-birdnet-07_54_51,31,4,1.6679966666666637,4.786563333333378
guanyinya_2023-06-04-birdnet-08_00_21,52,5,1.1679966666666666,7.827826666666699
guanyinya_2023-06-04-birdnet-08_01_50,48,7,1.4599966666666662,11.230506666666685
guanyinya_2023-06-04-birdnet-08_13_20,33,4,0.815996666666666,4.441223333333349
guanyinya_2023-06-04-birdnet-09_05_19,63,8,2.694663333333333,14.55179000000004
guanyinya_2023-06-04-birdnet-09_25_49,46,14,5.63733,11.673180000000057
guanyinya_2023-06-04-birdnet-09_27_19,47,8,2.465329999999998,9.889176666666671
guanyinya_2023-06-04-birdnet-10_06_18,45,16,4.163996666666666,7.551850000000001
guanyinya_2023-06-04-birdnet-10_24_47,48,6,1.4666633333333365,8.074506666666728
guanyinya_2023-06-04-birdnet-10_29_47,57,11,2.7386633333333386,14.02381000000006
guanyinya_2023-06-04-birdnet-10_30_17,63,11,4.23333,12.91045666666674
guanyinya_2023-06-04-birdnet-10_39_17,54,7,2.37733,10.7344866666667
guanyinya_2023-06-04-birdnet-10_42_47,48,9,2.186663333333333,6.839840000000017
guanyinya_2023-06-04-birdnet-10_43_17,41,11,4.883996666666668,8.898530000000026
guanyinya_2023-06-04-birdnet-11_28_46,39,6,1.3146633333333329,4.842536666666686
guanyinya_2023-06-04-birdnet-11_35_16,52,13,4.070663333333332,7.71849333333337
guanyinya_2023-06-05-birdnet-11_18_38,45,8,1.4466633333333325,3.8491833333333343
guanyinya_2023-06-05-birdnet-15_00_10,46,5,1.2119966666666713,4.778513333333346
guanyinya_2023-06-05-birdnet-15_00_40,37,5,1.07733,5.045210000000015
guanyinya_2023-06-05-birdnet-18_01_41,14,5,1.8506633333333329,2.6906199999999973
guanyinya_2023-06-06-birdnet-08_27_49,49,7,2.059996666666665,12.270503333333355
guanyinya_2023-06-06-birdnet-12_14_51,48,7,2.694663333333338,7.6825066666667325
guanyinya_2023-06-06-birdnet-13_47_51,36,4,0.9159966666666666,5.14788000000003
guanyinya_2023-06-06-birdnet-17_07_53,19,1,0.06533,1.5039366666666782
guanyinya_2023-06-07-birdnet-07_57_31,56,13,6.918663333333331,16.051813333333374
guanyinya_2023-06-13-birdnet-10_03_57,63,8,2.769329999999999,13.854456666666692
guanyinya_2023-06-13-birdnet-10_04_27,49,6,1.847996666666667,7.747836666666685
guanyinya_2023-06-13-birdnet-10_07_57,42,6,1.227996666666666,4.83586000000004
guanyinya_2023-06-13-birdnet-10_10_57,43,7,3.0706633333333357,8.30119000000004
guanyinya_2023-06-13-birdnet-10_13_27,39,8,1.4639966666666648,4.526536666666701
guanyinya_2023-06-13-birdnet-10_20_27,43,5,2.1519966666666663,7.1598566666667205
guanyinya_2023-06-13-birdnet-10_22_27,61,9,2.2999966666666687,10.821130000000057
guanyinya_2023-06-13-birdnet-10_22_57,40,3,0.433329999999998,6.098533333333366
guanyinya_2023-06-13-birdnet-10_23_27,39,5,1.3439966666666656,5.809203333333361
guanyinya_2023-06-13-birdnet-10_23_57,53,15,4.598663333333331,7.039823333333404
guanyinya_2023-06-13-birdnet-10_31_57,37,4,0.7853300000000019,7.2385433333333795
guanyinya_2023-06-13-birdnet-10_34_27,77,21,5.571996666666671,10.434410000000092
guanyinya_2023-06-13-birdnet-10_34_57,73,20,7.210663333333333,14.21975666666669
guanyinya_2023-06-13-birdnet-10_44_27,36,3,0.5679966666666663,2.8985466666666873
guanyinya_2023-06-13-birdnet-10_59_58,52,11,3.1919966666666664,12.59182666666671
guanyinya_2023-06-13-birdnet-11_04_28,33,5,1.8053299999999997,4.131890000000034
guanyinya_2023-06-13-birdnet-11_11_28,55,5,1.8373300000000015,9.206483333333376
guanyinya_2023-06-13-birdnet-11_11_58,70,14,5.101329999999997,14.506433333333398
guanyinya_2023-06-13-birdnet-11_12_28,61,14,5.017329999999999,14.113130000000037
guanyinya_2023-06-13-birdnet-11_12_58,64,12,4.437330000000003,12.69978666666671
guanyinya_2023-06-13-birdnet-11_13_28,64,9,3.5093299999999985,12.029120000000038
